listing_url,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price
https://www.airbnb.com/rooms/30964480,-33.63836,151.31822,Entire home/apt,10,3.5,4,1450.0
https://www.airbnb.com/rooms/32216728,-33.83444,151.25683,Entire home/apt,8,4.0,5,1450.0
https://www.airbnb.com/rooms/34256577,-33.88939,151.21368,Entire home/apt,9,3.5,5,1450.0
https://www.airbnb.com/rooms/34723784,-33.60358,151.32081000000002,Hotel room,2,1.0,1,1450.0
https://www.airbnb.com/rooms/3981172,-33.88752,151.24528,Entire home/apt,9,4.0,5,1438.0
https://www.airbnb.com/rooms/34910783,-33.61175,151.3277,Entire home/apt,6,2.0,3,1430.0
https://www.airbnb.com/rooms/35823585,-33.63257,151.33434,Private room,1,0.0,0,1430.0
https://www.airbnb.com/rooms/34753325,-33.8759,151.28047,Entire home/apt,8,3.0,3,1409.0
https://www.airbnb.com/rooms/9014715,-33.900940000000006,151.26564,Entire home/apt,8,3.0,4,1400.0
https://www.airbnb.com/rooms/9117064,-33.87611,151.28343,Entire home/apt,8,4.0,4,1400.0
https://www.airbnb.com/rooms/10752795,-33.605909999999994,151.33008,Entire home/apt,9,2.0,5,1400.0
https://www.airbnb.com/rooms/14222591,-33.84173,151.22669,Entire home/apt,9,4.0,5,1400.0
https://www.airbnb.com/rooms/15134917,-33.674490000000006,151.31423999999998,Entire home/apt,9,3.5,5,1400.0
https://www.airbnb.com/rooms/17563458,-33.59957,151.3251,Entire home/apt,10,3.5,5,1400.0
https://www.airbnb.com/rooms/18507709,-33.5944,151.3201,Entire home/apt,10,3.0,5,1400.0
https://www.airbnb.com/rooms/19278126,-33.77283,151.28993,Entire home/apt,10,2.5,5,1400.0
https://www.airbnb.com/rooms/22183655,-33.80259,151.29086,Entire home/apt,10,3.0,5,1400.0
https://www.airbnb.com/rooms/28755786,-33.855109999999996,151.1718,Entire home/apt,6,3.5,4,1400.0
https://www.airbnb.com/rooms/32770446,-33.85647,151.28062,Entire home/apt,10,4.0,4,1400.0
https://www.airbnb.com/rooms/33807930,-33.666579999999996,151.30148,Entire home/apt,8,2.0,4,1400.0
https://www.airbnb.com/rooms/34870902,-33.60647,151.33363,Entire home/apt,6,2.0,3,1400.0
https://www.airbnb.com/rooms/15876086,-33.68946,151.30778,Entire home/apt,10,3.5,4,1390.0
https://www.airbnb.com/rooms/30805536,-33.66409,151.31816,Entire home/apt,8,3.0,4,1376.0
https://www.airbnb.com/rooms/30822596,-33.608000000000004,151.33178,Entire home/apt,8,4.0,4,1376.0
https://www.airbnb.com/rooms/30905728,-33.62727,151.33975,Entire home/apt,8,3.0,5,1376.0
https://www.airbnb.com/rooms/28012953,-33.854820000000004,151.27918,Entire home/apt,9,4.0,5,1367.0
https://www.airbnb.com/rooms/9411519,-33.838570000000004,151.24324,Entire home/apt,8,4.0,4,1366.0
https://www.airbnb.com/rooms/2636367,-33.67633,151.31523,Entire home/apt,8,3.5,4,1350.0
https://www.airbnb.com/rooms/4951338,-33.75523,151.29898,Entire home/apt,10,3.5,5,1350.0
https://www.airbnb.com/rooms/9844097,-33.62089,151.33534,Entire home/apt,9,4.0,5,1350.0
https://www.airbnb.com/rooms/12796839,-33.59287,151.32058,Entire home/apt,8,3.0,4,1350.0
https://www.airbnb.com/rooms/29017950,-33.88075,151.28235,Entire home/apt,8,3.0,5,1350.0
https://www.airbnb.com/rooms/33400876,-33.61487,151.33213,Entire home/apt,8,2.0,4,1350.0
https://www.airbnb.com/rooms/14843386,-33.90106,151.26918999999998,Entire home/apt,11,4.0,5,1320.0
https://www.airbnb.com/rooms/15470237,-33.76142,151.30172,Entire home/apt,8,4.0,4,1313.0
https://www.airbnb.com/rooms/15819505,-33.8143,151.24743999999998,Entire home/apt,8,3.0,5,1313.0
https://www.airbnb.com/rooms/5584094,-33.8826,151.27678,Entire home/apt,8,2.5,4,1300.0
https://www.airbnb.com/rooms/8371694,-33.903290000000005,151.26173,Entire home/apt,10,4.0,5,1300.0
https://www.airbnb.com/rooms/8673910,-33.60174,151.32942,Entire home/apt,8,2.5,4,1300.0
https://www.airbnb.com/rooms/8835103,-33.90781,151.26879,Entire home/apt,9,3.0,4,1300.0
https://www.airbnb.com/rooms/8869697,-33.84538,151.23963999999998,Entire home/apt,6,1.0,3,1300.0
https://www.airbnb.com/rooms/9038152,-33.63095,151.3163,Entire home/apt,10,3.0,5,1300.0
https://www.airbnb.com/rooms/11514896,-33.88237,151.28132,Entire home/apt,8,2.0,4,1300.0
https://www.airbnb.com/rooms/14595532,-33.76073,151.30059,Entire home/apt,8,2.5,4,1300.0
https://www.airbnb.com/rooms/20346393,-33.767070000000004,151.28683,Entire home/apt,10,3.5,5,1300.0
https://www.airbnb.com/rooms/21196539,-33.63272,151.31298999999999,Entire home/apt,9,3.0,5,1300.0
https://www.airbnb.com/rooms/30158394,-33.67528,151.31468,Entire home/apt,10,2.0,4,1300.0
https://www.airbnb.com/rooms/30298050,-33.70629,151.30166,Entire home/apt,6,3.5,4,1300.0
https://www.airbnb.com/rooms/31059304,-33.8017,151.26503,Entire home/apt,8,3.0,5,1300.0
https://www.airbnb.com/rooms/31194697,-33.78893,151.16461,Entire home/apt,7,3.5,4,1300.0
https://www.airbnb.com/rooms/32374355,-33.80427,151.29225,Entire home/apt,9,2.5,4,1300.0
https://www.airbnb.com/rooms/34481503,-33.80532,151.28436000000002,Entire home/apt,5,2.0,3,1300.0
https://www.airbnb.com/rooms/35386144,-33.59602,151.3234,Entire home/apt,8,3.0,4,1300.0
https://www.airbnb.com/rooms/23278746,-33.79176,151.2783,Entire home/apt,7,2.5,4,1299.0
https://www.airbnb.com/rooms/3995688,-33.79403,151.23665,Entire home/apt,8,2.5,4,1294.0
https://www.airbnb.com/rooms/18376457,-33.603809999999996,151.32186000000002,Entire home/apt,8,4.0,4,1280.0
https://www.airbnb.com/rooms/35654563,-33.6572,151.32317,Entire home/apt,8,2.0,4,1275.0
https://www.airbnb.com/rooms/35845112,-33.68065,151.31161,Entire home/apt,6,2.0,3,1275.0
https://www.airbnb.com/rooms/10124791,-33.826209999999996,151.24864,Entire home/apt,8,3.0,3,1259.0
https://www.airbnb.com/rooms/765619,-33.59395,151.32461999999998,Entire home/apt,8,4.0,4,1251.0
https://www.airbnb.com/rooms/1337806,-33.79963,151.2746,Entire home/apt,6,3.0,3,1251.0
https://www.airbnb.com/rooms/1409169,-33.76225,151.29662,Entire home/apt,8,2.5,4,1251.0
https://www.airbnb.com/rooms/1976420,-33.89285,151.2722,Entire home/apt,6,1.0,3,1251.0
https://www.airbnb.com/rooms/4061343,-33.606390000000005,151.33348999999998,Entire home/apt,6,1.5,3,1251.0
https://www.airbnb.com/rooms/4166753,-33.89662,151.26401,Entire home/apt,8,2.0,4,1251.0
https://www.airbnb.com/rooms/4199027,-33.888709999999996,151.26962,Entire home/apt,8,3.5,4,1251.0
https://www.airbnb.com/rooms/7378784,-33.83424,151.24498,Entire home/apt,9,2.0,5,1251.0
https://www.airbnb.com/rooms/8035255,-33.78102,151.28753,Entire home/apt,7,3.5,4,1251.0
https://www.airbnb.com/rooms/9545948,-33.835640000000005,151.23883999999998,Entire home/apt,10,4.0,5,1251.0
https://www.airbnb.com/rooms/9665798,-33.63102,151.33981,Entire home/apt,8,2.0,4,1251.0
https://www.airbnb.com/rooms/12324502,-33.79537,151.28521,Entire home/apt,8,2.0,4,1251.0
https://www.airbnb.com/rooms/14043572,-33.91297,151.26276000000001,Entire home/apt,10,2.0,5,1251.0
https://www.airbnb.com/rooms/16548041,-33.87717,151.22326999999999,Entire home/apt,4,2.0,1,1251.0
https://www.airbnb.com/rooms/17175676,-33.80084,151.29845,Entire home/apt,9,4.0,5,1251.0
https://www.airbnb.com/rooms/18377824,-33.613820000000004,151.33081,Entire home/apt,9,3.0,4,1251.0
https://www.airbnb.com/rooms/18378227,-33.60484,151.32429,Entire home/apt,10,3.0,4,1251.0
https://www.airbnb.com/rooms/21111136,-33.77997,151.287,Entire home/apt,8,3.0,4,1251.0
https://www.airbnb.com/rooms/21426571,-33.60071,151.31665,Entire home/apt,7,2.0,4,1251.0
https://www.airbnb.com/rooms/26932284,-33.86312,151.20838999999998,Hotel room,2,1.0,1,1251.0
https://www.airbnb.com/rooms/30237124,-33.88239,151.27329,Entire home/apt,8,3.0,4,1251.0
https://www.airbnb.com/rooms/30539389,-33.78611,151.23636000000002,Entire home/apt,8,3.0,5,1251.0
https://www.airbnb.com/rooms/31964578,-33.60192,151.3178,Entire home/apt,7,2.0,4,1251.0
https://www.airbnb.com/rooms/34759030,-33.60249,151.31704,Entire home/apt,8,4.0,4,1251.0
https://www.airbnb.com/rooms/34787885,-34.0618,151.14719,Entire home/apt,8,2.0,4,1251.0
https://www.airbnb.com/rooms/36241889,-33.60185,151.32061000000002,Entire home/apt,10,4.0,5,1251.0
https://www.airbnb.com/rooms/36314196,-33.86368,151.2824,Entire home/apt,6,3.5,3,1251.0
https://www.airbnb.com/rooms/37216385,-33.62865,151.33123,Entire home/apt,10,2.0,5,1251.0
https://www.airbnb.com/rooms/14864952,-33.88153,151.24573,Entire home/apt,8,4.0,4,1248.0
https://www.airbnb.com/rooms/30805279,-33.79367,151.28278,Entire home/apt,8,3.0,4,1240.0
https://www.airbnb.com/rooms/1869962,-33.88473,151.24841,Entire home/apt,8,4.0,5,1200.0
https://www.airbnb.com/rooms/1967742,-33.84185,151.28122,Entire home/apt,8,3.0,5,1200.0
https://www.airbnb.com/rooms/2441800,-33.832,151.24953,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/4424593,-33.77852,151.28789,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/6045148,-33.80055,151.29279,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/6160069,-33.88896,151.26831,Entire home/apt,10,3.0,5,1200.0
https://www.airbnb.com/rooms/6401546,-33.77688,151.28177,Entire home/apt,10,3.0,5,1200.0
https://www.airbnb.com/rooms/7718916,-33.8913,151.28388,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/8104944,-33.710359999999994,151.30146000000002,Entire home/apt,10,2.0,4,1200.0
https://www.airbnb.com/rooms/8740611,-33.61983,151.3359,Entire home/apt,10,2.5,5,1200.0
https://www.airbnb.com/rooms/11183028,-33.886179999999996,151.27848,Entire home/apt,10,3.5,4,1200.0
https://www.airbnb.com/rooms/11558036,-33.41117,150.97785,Entire home/apt,10,4.0,5,1200.0
https://www.airbnb.com/rooms/12098897,-33.964529999999996,151.25068000000002,Entire home/apt,8,4.0,5,1200.0
https://www.airbnb.com/rooms/13178253,-33.941629999999996,151.24004,Entire home/apt,2,1.0,1,1200.0
https://www.airbnb.com/rooms/13537685,-33.62955,151.33456999999999,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/13930309,-33.647529999999996,151.30645,Entire home/apt,10,3.5,5,1200.0
https://www.airbnb.com/rooms/15760873,-33.60253,151.33018,Entire home/apt,8,2.0,3,1200.0
https://www.airbnb.com/rooms/16232033,-33.79963,151.27302,Entire home/apt,6,3.0,3,1200.0
https://www.airbnb.com/rooms/16276946,-33.87822,151.27387,Entire home/apt,6,2.5,3,1200.0
https://www.airbnb.com/rooms/16338128,-33.882740000000005,151.22182,Entire home/apt,6,1.0,3,1200.0
https://www.airbnb.com/rooms/18228128,-33.81798,151.23504,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/18754797,-33.770070000000004,151.291,Entire home/apt,6,2.5,4,1200.0
https://www.airbnb.com/rooms/19120999,-33.87931,151.27142,Entire home/apt,9,3.0,5,1200.0
https://www.airbnb.com/rooms/20225301,-33.891459999999995,151.26368,Entire home/apt,4,2.0,2,1200.0
https://www.airbnb.com/rooms/23569622,-33.870940000000004,151.19593999999998,Entire home/apt,10,2.0,4,1200.0
https://www.airbnb.com/rooms/26371444,-33.794109999999996,151.27906000000002,Entire home/apt,7,2.0,4,1200.0
https://www.airbnb.com/rooms/27119631,-33.69198,151.30483999999998,Entire home/apt,10,4.0,5,1200.0
https://www.airbnb.com/rooms/27556389,-33.790459999999996,151.28146,Entire home/apt,8,3.5,4,1200.0
https://www.airbnb.com/rooms/28083222,-33.78262,151.28574,Entire home/apt,9,3.5,5,1200.0
https://www.airbnb.com/rooms/28789984,-33.785709999999995,151.28301000000002,Entire home/apt,8,4.0,4,1200.0
https://www.airbnb.com/rooms/29242561,-33.62642,151.33665,Entire home/apt,9,2.0,4,1200.0
https://www.airbnb.com/rooms/29439862,-33.88958,151.2829,Entire home/apt,7,2.0,4,1200.0
https://www.airbnb.com/rooms/30047783,-33.81508,151.24528999999998,Entire home/apt,8,4.0,4,1200.0
https://www.airbnb.com/rooms/30093871,-33.79298,151.2791,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/30094223,-33.80233,151.26658999999998,Entire home/apt,10,4.0,5,1200.0
https://www.airbnb.com/rooms/30135874,-33.88139,151.21063999999998,Entire home/apt,4,2.0,2,1200.0
https://www.airbnb.com/rooms/31940053,-33.90735,151.2627,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/34231022,-33.89304,151.27142,Private room,2,1.0,1,1200.0
https://www.airbnb.com/rooms/34284897,-33.82669,151.22536000000002,Entire home/apt,10,2.5,5,1200.0
https://www.airbnb.com/rooms/34606362,-33.605579999999996,151.33298,Entire home/apt,8,3.0,4,1200.0
https://www.airbnb.com/rooms/37225265,-33.89114,151.25821000000002,Entire home/apt,7,3.0,4,1200.0
https://www.airbnb.com/rooms/37727591,-33.79656,151.27323,Entire home/apt,11,3.0,4,1200.0
https://www.airbnb.com/rooms/37755254,-33.8778,151.23212,Private room,6,2.0,3,1200.0
https://www.airbnb.com/rooms/37793909,-33.84402,151.20513,Entire home/apt,2,1.0,1,1200.0
https://www.airbnb.com/rooms/33148931,-33.8725,151.17513,Entire home/apt,4,1.0,0,1198.0
https://www.airbnb.com/rooms/21864188,-33.86097,151.2126,Entire home/apt,7,3.0,3,1195.0
https://www.airbnb.com/rooms/7548377,-33.85923,150.80973,Entire home/apt,10,4.0,4,1190.0
https://www.airbnb.com/rooms/29855124,-33.82931,151.18001,Entire home/apt,11,2.5,4,1190.0
https://www.airbnb.com/rooms/1170239,-33.84718,151.07295,Entire home/apt,6,2.0,3,1179.0
https://www.airbnb.com/rooms/1171108,-33.84577,151.07161000000002,Entire home/apt,6,2.0,3,1179.0
https://www.airbnb.com/rooms/1171118,-33.8476,151.0732,Entire home/apt,7,2.0,3,1179.0
https://www.airbnb.com/rooms/24677548,-33.84565,151.07338000000001,Entire home/apt,6,2.0,3,1179.0
https://www.airbnb.com/rooms/22071678,-33.904509999999995,151.26174,Entire home/apt,10,3.5,5,1175.0
https://www.airbnb.com/rooms/31585276,-33.871629999999996,151.22378,Entire home/apt,4,1.5,2,1158.0
https://www.airbnb.com/rooms/2445946,-33.83971,151.28008,Entire home/apt,8,2.0,4,1150.0
https://www.airbnb.com/rooms/11951330,-33.91648,151.21941,Entire home/apt,6,4.0,4,1150.0
https://www.airbnb.com/rooms/15987556,-33.892509999999994,151.2839,Entire home/apt,4,2.0,2,1150.0
https://www.airbnb.com/rooms/21477653,-33.60435,151.32615,Entire home/apt,8,2.0,4,1150.0
https://www.airbnb.com/rooms/29220347,-33.609120000000004,151.3275,Entire home/apt,8,3.0,4,1150.0
https://www.airbnb.com/rooms/30218329,-33.64374,151.3266,Entire home/apt,6,3.0,3,1150.0
https://www.airbnb.com/rooms/35389860,-33.88991,151.27453,Entire home/apt,6,3.0,3,1150.0
https://www.airbnb.com/rooms/35688788,-33.60485,151.33136000000002,Entire home/apt,8,2.0,4,1150.0
https://www.airbnb.com/rooms/31419446,-33.88091,151.18639,Entire home/apt,10,4.0,5,1149.0
https://www.airbnb.com/rooms/19352446,-33.8963,151.24188999999998,Entire home/apt,10,3.0,5,1144.0
https://www.airbnb.com/rooms/37789556,-33.60199,151.32263999999998,Entire home/apt,7,3.5,3,1143.0
https://www.airbnb.com/rooms/30801582,-33.62595,151.33947,Entire home/apt,10,4.0,4,1140.0
https://www.airbnb.com/rooms/15131467,-33.79518,151.23973999999998,Entire home/apt,6,3.0,3,1130.0
https://www.airbnb.com/rooms/58954,-33.89176,151.24258999999998,Entire home/apt,8,2.0,4,1127.0
https://www.airbnb.com/rooms/33082221,-33.9215,151.25441999999998,Entire home/apt,2,1.0,1,1120.0
https://www.airbnb.com/rooms/8506494,-33.91701,151.25923,Entire home/apt,8,3.0,3,1110.0
https://www.airbnb.com/rooms/28594207,-33.87381,151.19552,Private room,4,1.0,1,1110.0
https://www.airbnb.com/rooms/18585845,-33.828340000000004,151.18317,Entire home/apt,8,3.0,3,1107.0
https://www.airbnb.com/rooms/14733479,-33.837720000000004,151.24345,Entire home/apt,8,3.0,4,1105.0
https://www.airbnb.com/rooms/741598,-33.87592,151.28193000000002,Entire home/apt,8,4.0,5,1099.0
